IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,284,6.40
34.105.189.25,443,443,true,LHR,Europe,GB,London,290,5.38
34.105.130.188,443,443,true,LHR,Europe,GB,London,414,5.11
35.235.84.162,443,443,true,LAX,North America,US,Los Angeles,266,4.91
34.105.140.105,443,443,true,LHR,Europe,GB,London,246,4.88
34.105.130.188,443,443,true,LHR,Europe,GB,London,373,4.80
34.94.205.15,443,443,true,LAX,North America,US,Los Angeles,316,4.37
34.147.196.2,443,443,true,LHR,Europe,GB,London,350,3.72
35.246.97.251,443,443,true,LHR,Europe,GB,London,304,3.46
34.94.205.15,443,443,true,SJC,North America,US,San Jose,378,1.53
35.235.84.162,443,443,true,LAX,North America,US,Los Angeles,428,1.46
35.236.11.184,443,443,true,LAX,North America,US,Los Angeles,295,1.33
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,14,0.00
34.142.192.44,443,80,false,SIN,Asia Pacific,SG,Singapore,61,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,62,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,81,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,84,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,104,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,113,0.00
34.142.192.44,80,80,false,SIN,Asia Pacific,SG,Singapore,125,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,132,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,135,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,135,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,136,0.00
34.117.105.161,80,80,false,SIN,Asia Pacific,SG,Singapore,136,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,137,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,146,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,152,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,154,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,159,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,160,0.00
34.141.221.33,2052,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.141.221.33,2095,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,162,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,163,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,163,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,163,0.00
34.83.150.78,80,80,false,SEA,North America,US,Seattle,163,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,164,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.141.221.33,2086,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.141.221.33,2096,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.83.150.78,80,80,false,SEA,North America,US,Seattle,165,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,166,0.00
